Autoritate contractanta,CUI,Tip autoritate,Tip activitate,Tip anunt,Tip procedura,Tip legislatie,Tip incheiere contract,Tip contract,Modalitate de desfasurare,Cu licitatie electronica?,Tip criteriu de atribuire,Cod CPV,Denumire CPV,Numar anunt initiere,Data publicare,Numar lot,Numar anunt atribuire,Data publicare,Data contract,Numar contract,Incheiar prin ,Valoare contract (RON),Ofertant,CUI ofertant,Oras,Tara
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,01/20/2022 00:00:00,2029,Cu acord cadru subsecvent,"123,126",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,03/16/2022 00:00:00,2281,Cu acord cadru subsecvent,"80,672",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,03/18/2022 00:00:00,2301,Cu acord cadru subsecvent,"108,650",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,03/24/2022 00:00:00,2331,Cu acord cadru subsecvent,"41,404",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,04/15/2022 00:00:00,2473,Cu acord cadru subsecvent,"26,500",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,05/03/2022 00:00:00,2508,Cu acord cadru subsecvent,"241,108",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,06/06/2022 00:00:00,2665,Cu acord cadru subsecvent,"187,000",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,07/07/2022 00:00:00,2819,Cu acord cadru subsecvent,"181,073",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,07/14/2022 00:00:00,2856,Cu acord cadru subsecvent,"21,124",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,08/09/2022 00:00:00,2962,Cu acord cadru subsecvent,"229,136",TZMO ROMANIA,RO 9693687,Clinceni,Romania
